住宅價格季指數類別,期別,季指數,季指數變動率,標準住宅總價,標準住宅單價
士林區,101Q3,96,-,1769,49.13
士林區,101Q4,98.65,2.76%,1817,50.48
士林區,102Q1,101.33,2.72%,1867,51.86
士林區,102Q2,102.4,1.06%,1886,52.4
士林區,102Q3,102.26,-0.14%,1884,52.33
士林區,102Q4,104.22,1.92%,1920,53.33
士林區,103Q1,107.25,2.91%,1976,54.88
士林區,103Q2,106.18,-1%,1956,54.34
士林區,103Q3,108.93,2.59%,2007,55.74
士林區,103Q4,109.29,0.33%,2013,55.93
士林區,104Q1,112.22,2.68%,2067,57.43
士林區,104Q2,110.19,-1.81%,2030,56.39
士林區,104Q3,108.59,-1.45%,2001,55.57
士林區,104Q4,107.51,-0.99%,1981,55.02
士林區,105Q1,107.33,-0.17%,1977,54.92
士林區,105Q2,106.65,-0.63%,1965,54.58
士林區,105Q3,103.77,-2.70%,1912,53.1
士林區,105Q4,101.9,-1.80%,1877,52.15
士林區,106Q1,100.74,-1.14%,1856,51.55
士林區,106Q2,101.51,0.76%,1870,51.95
士林區,106Q3,102.11,0.59%,1881,52.25
士林區,106Q4,102.85,0.72%,1895,52.63
士林區,107Q1,100.88,-1.92%,1859,51.62
士林區,107Q2,99.16,-1.70%,1827,50.74
士林區,107Q3,99.78,0.63%,1838,51.06
士林區,107Q4,100.05,0.27%,1843,51.2
士林區,108Q1,102.48,2.43%,1888,52.44
士林區,108Q2,102.36,-0.12%,1886,52.38
士林區,108Q3,99.84,-2.46%,1839,51.09
士林區,108Q4,100.26,0.42%,1847,51.31
士林區,109Q1,99.92,-0.34%,1841,51.13
士林區,109Q2,101.53,1.61%,1870,51.96
士林區,109Q3,102.61,1.06%,1890,52.51
士林區,109Q4,103.56,0.93%,1908,53
士林區,110Q1,104.31,0.72%,1922,53.38
士林區,110Q2,104.62,0.30%,1927,53.54
士林區,110Q3,104.88,0.25%,1932,53.67
士林區,110Q4,105.42,0.51%,1942,53.95
內湖區,101Q3,96.07,-,1713,48.94
內湖區,101Q4,96.45,0.40%,1720,49.13
內湖區,102Q1,98.57,2.20%,1757,50.21
內湖區,102Q2,98.48,-0.09%,1756,50.16
內湖區,102Q3,101.32,2.88%,1806,51.61
內湖區,102Q4,102.92,1.58%,1835,52.43
內湖區,103Q1,103.79,0.85%,1850,52.87
內湖區,103Q2,105.8,1.94%,1886,53.89
內湖區,103Q3,105.78,-0.02%,1886,53.88
內湖區,103Q4,106.32,0.51%,1895,54.15
內湖區,104Q1,107.85,1.44%,1923,54.93
內湖區,104Q2,108.07,0.20%,1927,55.05
內湖區,104Q3,107.09,-0.91%,1909,54.55
內湖區,104Q4,106.57,-0.49%,1900,54.29
內湖區,105Q1,103.84,-2.56%,1851,52.89
內湖區,105Q2,102.87,-0.93%,1834,52.4
內湖區,105Q3,99.94,-2.85%,1782,50.91
內湖區,105Q4,100.7,0.76%,1795,51.3
內湖區,106Q1,98.65,-2.04%,1759,50.25
內湖區,106Q2,98.73,0.08%,1760,50.29
內湖區,106Q3,99.32,0.60%,1771,50.59
內湖區,106Q4,98.86,-0.46%,1763,50.36
內湖區,107Q1,100.4,1.56%,1790,51.14
內湖區,107Q2,99.52,-0.88%,1774,50.69
內湖區,107Q3,100.17,0.65%,1786,51.02
內湖區,107Q4,101.58,1.41%,1811,51.74
內湖區,108Q1,102.7,1.10%,1831,52.31
內湖區,108Q2,101.85,-0.83%,1816,51.88
內湖區,108Q3,103.04,1.17%,1837,52.49
內湖區,108Q4,103.05,0.01%,1837,52.49
內湖區,109Q1,103.04,-0.01%,1837,52.49
內湖區,109Q2,104.58,1.49%,1864,53.27
內湖區,109Q3,105.57,0.95%,1882,53.78
內湖區,109Q4,106.48,0.86%,1898,54.24
內湖區,110Q1,108.28,1.69%,1930,55.16
內湖區,110Q2,109.55,1.17%,1953,55.8
內湖區,110Q3,110.43,0.80%,1969,56.25
內湖區,110Q4,113.56,2.83%,2025,57.84
大同區,101Q3,88.35,-,1300,44.82
大同區,101Q4,89.17,0.93%,1312,45.23
大同區,102Q1,88.71,-0.52%,1305,45
大同區,102Q2,90,1.45%,1324,45.65
大同區,102Q3,93.25,3.61%,1372,47.3
大同區,102Q4,96.36,3.34%,1418,48.88
大同區,103Q1,101.12,4.94%,1488,51.3
大同區,103Q2,101.72,0.59%,1496,51.6
大同區,103Q3,101.24,-0.47%,1489,51.36
大同區,103Q4,101.78,0.53%,1497,51.63
大同區,104Q1,103.9,2.08%,1529,52.71
大同區,104Q2,106.72,2.71%,1570,54.14
大同區,104Q3,106.13,-0.55%,1561,53.84
大同區,104Q4,105.72,-0.39%,1555,53.63
大同區,105Q1,103.57,-2.03%,1524,52.54
大同區,105Q2,103.15,-0.41%,1518,52.33
大同區,105Q3,101.8,-1.31%,1498,51.64
大同區,105Q4,102.05,0.25%,1501,51.77
大同區,106Q1,101.77,-0.27%,1497,51.63
大同區,106Q2,100.95,-0.81%,1485,51.21
大同區,106Q3,103.72,2.74%,1526,52.61
大同區,106Q4,103.08,-0.62%,1516,52.29
大同區,107Q1,102.29,-0.77%,1505,51.89
大同區,107Q2,99.25,-2.97%,1460,50.35
大同區,107Q3,99.03,-0.22%,1457,50.24
大同區,107Q4,102.64,3.65%,1510,52.07
大同區,108Q1,99.77,-2.80%,1468,50.61
大同區,108Q2,102.74,2.98%,1511,52.12
大同區,108Q3,103.89,1.12%,1528,52.7
大同區,108Q4,103.02,-0.84%,1515,52.26
大同區,109Q1,101.16,-1.81%,1488,51.31
大同區,109Q2,103.08,1.90%,1516,52.29
